Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,has_analysis,uses_genai,patterns
TRK Technology,https://trk.technology,,,,,2021-01-01,,Artificial Intelligence based products and services,https://trk.technology,,"Blockchain, Deeptech, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Cuebric,https://cuebric.com,,,,,2021-01-01,,AI tool for creatives for the art of film and image production,https://cuebric.com,,"Media, Artificial intelligence","Boston, USA, Asia",,true,true,
QCloud Software,https://www.qcloudsoftware.com,,,,,2021-01-01,,Cloud-based software solutions for the healthcare industry,https://www.qcloudsoftware.com,,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
Intechne,https://intechne.com.tr,,,,,2021-01-01,,Products and services for the robotics and automation industries,https://intechne.com.tr,,"Robotics, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Quantic Technology,http://www.quanticst.com,,,,,2021-01-01,,"Digital transformation, image processing, artificial intelligence and logo integration solutions",http://www.quanticst.com,,"Agency, Image process, Artificial intelligence","Kocaeli, Turkey, Asia",,true,true,
AppNation,https://www.appnation.co,,,,,2021-01-01,,Developer and publisher of AI-powered mobile apps,https://www.appnation.co,,"Agency, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Dynamo AI,https://dynamo.ai,,,,,2021-01-01,,Compliant-ready AI for the enterprise,https://dynamo.ai,,Artificial intelligence,"San Francisco, USA, Asia",,true,true,
60 Seconds App,https://www.60secondsapp.com,,,,,2021-01-01,,AI-powered personalized pricing prediction tool,https://www.60secondsapp.com,,"Customer experience, Artificial intelligence","London, UK, Asia",,true,true,
Yeterly AI,https://yeterly.ai,,,,,2021-01-01,,Artificial intelligence and machine learning solutions.,https://yeterly.ai,,"Deeptech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Reportql,https://www.reportql.com,,,,,2021-01-01,,"SQL-based, AI-powered data visualization assistant",https://www.reportql.com,,"Artificial intelligence, SaaS","Ankara, Turkey, Asia",,true,true,
Crossfire Lab,https://www.crossfirelab.com,,,,,2021-01-01,,"Financial & banking applications, infrastructure monitoring, machine learning and AI solutions",https://www.crossfirelab.com,,"Fintech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Cyclizm,https://cyclizm.co,,,,,2021-01-01,,AI-based green hydrogen plant planning SaaS platform,https://cyclizm.co,,"Energy, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",,true,true,
NBL Games,https://nblgames.com,Seed,300000,USD,300000,2021-01-01,Seed,AI based games,https://nblgames.com,1,"Gaming, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Dama Dama,https://www.damadama.com,,,,,2021-01-01,,Solutions in artificial intelligence and big data,https://www.damadama.com,,"Big data, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
GoDays,https://godays.co,Pre-Seed,600000,USD,600000,2021-01-01,Pre-Seed,"AI-powered tool designed to elevate employee well-being, boost productivity",https://godays.co,1,"Hrtech, Artificial intelligence, SaaS","Almaty, Kazakhistan, Asia",,true,true,
Infinitus,https://www.infinitus.com.tr,,,,,2021-01-01,,AI solutions for aerospace and defense industry,https://www.infinitus.com.tr,,"Military, Aviationtech , Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Sociopack,https://www.sociopack.com,Equity Crowdfunding,86774,USD,86774,2021-01-01,Seed,Platform that enables companies to manage their digital profiles on a single dashboard and track their own and their competitors' performance,https://www.sociopack.com,1,"Marketingtech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
SmartIR,https://smartir.io,,,,,2021-01-01,,AI-based driver monitoring and mobility solutions,https://smartir.io,,"Mobility, Artificial intelligence, Autotech","Istanbul, Turkey, Asia",,true,true,
Lightnift,http://lightnift.com,,,,,2021-01-01,,AI-driven analytics and aggregator for digital assets,http://lightnift.com,,"NFT, Blockchain, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Simplisales,https://simplisales.com,Convertible Note,180000,USD,180000,2021-01-01,Pre-Seed,AI-powered B2B e-commerce solution for wholesalers,https://simplisales.com,1,"E-commerce enabler, Artificial intelligence","London, UK, Asia",,true,true,
AdCreative.ai,https://www.adcreative.ai,Seed,250000,USD,250000,2021-01-01,Seed,AI tool for advertising,https://www.adcreative.ai,1,"Advertising, Artificial intelligence, SaaS","Paris, France, Asia",,true,true,
Raysoft,https://raysoft.com.tr,,,,,2021-01-01,,"Blockchain, artificial intelligence and social life project solutions",https://raysoft.com.tr,,"Blockchain, Artificial intelligence","Bursa, Turkey, Asia",,true,true,
Vizio AI,https://www.vizio.ai,,,,,2021-01-01,,Data analytics service provider,https://www.vizio.ai,,Artificial intelligence,"Istanbul, Turkey, Asia",,true,true,
Resleeve,https://resleeve.ai,Seed,900000,USD,900000,2021-01-01,Seed,AI tool for generating fashion designs,https://resleeve.ai,1,"Fashion, Artificial intelligence","Eindhoven, The Netherlands, Asia",,true,true,
Daphne Bilişim,https://www.daphnebilisim.com.tr,,,,,2021-01-01,,Developer of artificial intelligence based systems,https://www.daphnebilisim.com.tr,,Artificial intelligence,"Kayseri, Turkey, Asia",,true,true,
Reeplayer,https://www.reeplayer.com,Seed,200000,USD,200000,2021-01-01,Seed,"AI cameras and software to auto record, watch and share youth soccer",https://www.reeplayer.com,1,"Sports, Artificial intelligence","Los Angeles, USA, Asia",,true,true,
MKEY Technology,https://www.mkeytechnology.com,,,,,2021-01-01,,Image processing based and artificial intelligence supported automation systems,https://www.mkeytechnology.com,,"Image process, Artificial intelligence","Konya, Turkey, Asia",,true,true,
Syntax Yazılım,https://syntaxbilisim.com,,,,,2021-01-01,,"Artificial intelligence, data analytics, mobile applications, web applications and IoT solutions",https://syntaxbilisim.com,,"Internet of things, Agency, Artificial intelligence","Van, Turkey, Asia",,true,true,
RegorTech,https://www.regortech.com,,,,,2021-01-01,,"Solutions using robots (RPA), AI, and machine learning",https://www.regortech.com,,"Internet of things, Big data, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Capoom,https://www.capoom.com,,,,,2021-01-01,,"AI-based technologies that can be used in games, simulations and interactive media, transforming photos and 3D scans into intelligent 3D models",https://www.capoom.com,,"Metaverse, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
VooDoo,https://www.voodoorpa.com,,,,,2021-01-01,,Robotic process automation with artificial intelligence,https://www.voodoorpa.com,,Artificial intelligence,"Ankara, Turkey, Asia",,true,true,
Ono,https://onenewone.com,Seed,100000,USD,100000,2021-01-01,Seed,Artificial intelligence based recruitment management system,https://onenewone.com,1,"Hrtech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Videolity,https://www.videolity.com,,,,,2021-01-01,,B2B SaaS platform that brings products from any video into a shoppable format with artificial intelligence,https://www.videolity.com,,"Marketingtech, Artificial intelligence, SaaS","London, UK, Asia",,true,true,
Lieva,https://lieva.com.tr,Equity Crowdfunding,170662,USD,170662,2021-01-01,Seed,AI supported blood analysis software,https://lieva.com.tr,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
DeepTech Mühendislik,http://deeptechmuhendislik.com,,,,,2021-01-01,,"Image processing techniques, AI applications, modelling arguments, mobile and web application solutions",http://deeptechmuhendislik.com,,"Agency, Image process, Artificial intelligence","Hatay, Turkey, Asia",,true,true,
Cybernetic Labs,https://cyberneticlabs.io,,,,,2021-01-01,,"AI, language, computer vision and unmanned vehicles solutions",https://cyberneticlabs.io,,"Artificial intelligence, Unmanned vehicle","Istanbul, Turkey, Asia",,true,true,
